day,subscribersGained,subscribersLost,views
2022-12-12,2,0,336
2022-12-11,4,0,263
2022-12-10,4,0,198
2022-12-09,0,0,211
2022-12-08,5,0,294
2022-12-07,4,0,324
2022-12-06,1,0,271
2022-12-05,1,0,276
2022-12-04,3,0,230
2022-12-03,2,0,204
2022-12-02,0,0,220
2022-12-01,4,1,252
2022-11-30,6,0,314
2022-11-29,3,0,297
2022-11-28,5,0,286
2022-11-27,5,0,289
2022-11-26,1,0,265
2022-11-25,5,1,231
2022-11-24,1,0,243
2022-11-23,2,0,286
2022-11-22,2,0,276
2022-11-21,0,1,291
2022-11-20,5,0,288
2022-11-19,2,0,181
2022-11-18,3,0,249
2022-11-17,5,0,288
2022-11-16,3,0,350
2022-11-15,3,1,317
2022-11-14,3,0,333
2022-11-13,1,0,282
2022-11-12,0,0,227
2022-11-11,3,2,281
2022-11-10,1,1,275
2022-11-09,6,0,287
2022-11-08,4,0,309
2022-11-07,4,0,317
2022-11-06,2,1,305
2022-11-05,2,1,221
2022-11-04,2,0,258
2022-11-03,4,2,289
2022-11-02,5,1,341
2022-11-01,1,0,358
2022-10-31,0,1,334
2022-10-30,0,1,291
2022-10-29,6,0,242
2022-10-28,2,0,284
2022-10-27,0,0,339
2022-10-26,7,0,370
2022-10-25,3,0,378
2022-10-24,6,0,286
2022-10-23,1,0,268
2022-10-22,3,0,224
2022-10-21,2,0,204
2022-10-20,3,1,328
2022-10-19,5,2,357
2022-10-18,3,0,313
2022-10-17,2,0,325
2022-10-16,2,1,229
2022-10-15,6,0,226
2022-10-14,3,0,253
2022-10-13,1,0,328
2022-10-12,3,0,305
2022-10-11,4,1,289
2022-10-10,2,0,284
2022-10-09,1,0,189
2022-10-08,8,1,246
2022-10-07,3,0,251
2022-10-06,7,0,385
2022-10-05,5,0,258
2022-10-04,5,1,249
2022-10-03,3,0,261
2022-10-02,2,0,236
2022-10-01,3,0,166
2022-09-30,1,0,226
2022-09-29,3,0,260
2022-09-28,2,0,257
2022-09-27,4,2,254
2022-09-26,4,0,270
2022-09-25,5,1,228
2022-09-24,3,0,168
2022-09-23,2,0,211
2022-09-22,4,0,255
2022-09-21,4,1,325
2022-09-20,2,1,311
2022-09-19,6,1,294
2022-09-18,14,0,277
2022-09-17,4,0,183
2022-09-16,3,0,213
2022-09-15,5,0,224
2022-09-14,2,0,284
2022-09-13,4,0,292
2022-09-12,4,0,296
2022-09-11,2,0,225
2022-09-10,4,0,248
2022-09-09,2,0,238
2022-09-08,3,0,293
2022-09-07,8,1,293
2022-09-06,3,0,263
2022-09-05,3,0,263
2022-09-04,2,1,222
2022-09-03,5,0,193
2022-09-02,4,0,203
2022-09-01,6,0,265
2022-08-31,13,0,291
2022-08-30,1,0,199
2022-08-29,5,1,281
2022-08-28,3,0,239
2022-08-27,8,0,227
2022-08-26,2,0,205
2022-08-25,2,0,196
2022-08-24,1,2,210
2022-08-23,2,0,230
2022-08-22,2,0,157
2022-08-21,2,0,153
2022-08-20,2,0,155
2022-08-19,4,0,179
2022-08-18,1,0,188
2022-08-17,2,0,153
2022-08-16,2,0,175
2022-08-15,2,0,185
2022-08-14,2,0,137
2022-08-13,1,0,130
2022-08-12,2,0,110
2022-08-11,5,0,184
